RunningTime,A,B,C,SumOfRunning
2018-04-19 10:06:36.864176,0,0,1,8536.962
2018-04-19 10:06:40.799310,1,0,0,7569.262
2018-04-19 10:06:47.438533,0,0,1,930.23
2018-04-19 10:06:48.442365,0,1,0,8016.754
2018-04-19 10:06:51.465910,0,0,1,4993.437
2018-04-19 10:06:58.498561,0,1,0,0.09699999999999999
2018-04-19 10:06:51.048951,1,0,0,8342.97
2018-04-19 10:06:59.503136,0,0,1,0.331
2018-04-19 10:06:59.556400,0,1,0,0.11599999999999999
2018-04-19 10:07:00.546672,0,0,1,0.534
2018-04-19 10:07:00.610176,0,1,0,14414.153
2018-04-19 10:07:03.588575,0,0,1,11436.53
2018-04-19 10:07:03.389161,1,0,0,14489.491000000002
2018-04-19 10:07:16.061862,0,0,1,1817.05
2018-04-19 10:07:18.978260,0,0,1,0.09300000000000001
2018-04-19 10:07:18.064592,0,1,0,7983.0019999999995
2018-04-19 10:07:21.015383,0,0,1,5032.497
2018-04-19 10:07:27.090977,0,1,0,0.12300000000000001
2018-04-19 10:07:20.781276,1,0,0,8174.143
2018-04-19 10:07:27.087843,0,0,1,1867.9270000000001
2018-04-19 10:07:30.053668,0,0,1,1.212
2018-04-19 10:07:30.127980,0,1,0,0.11699999999999999
2018-04-19 10:07:31.782151,1,0,0,2886.2090000000003
2018-04-19 10:07:33.095649,0,0,1,1572.974
2018-04-19 10:07:36.781952,0,0,1,0.094
2018-04-19 10:07:33.166274,0,1,0,9687.994
2018-04-19 10:07:39.819551,0,0,1,3034.989
2018-04-19 10:07:36.650066,1,0,0,9083.017
